City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Murgab,37.4966,61.9714,46.4,57,75,4.61,TM,2021-03-04 19:51:51
68,Ponta Do Sol,32.6667,-17.1,60.01,73,51,3.0,PT,2021-03-04 19:51:52
69,Acarau,-2.8856,-40.12,82.72,71,90,14.47,BR,2021-03-04 19:51:52
70,San Rafael,-34.6177,-68.3301,92.1,22,51,10.54,AR,2021-03-04 19:51:52
71,Pennathur,12.25,79.2333,69.66,78,0,2.71,IN,2021-03-04 19:51:53
72,Hualmay,-11.0964,-77.6139,77.9,66,95,8.41,PE,2021-03-04 19:49:08
73,Bayeux,-7.125,-34.9322,82.4,83,75,18.41,BR,2021-03-04 19:51:53
74,San Luis,-33.295,-66.3356,89.65,26,20,10.31,AR,2021-03-04 19:50:04
75,Coahuayana,18.7333,-103.6833,86.0,30,1,9.22,MX,2021-03-04 19:51:54
76,Nelson Bay,-32.7167,152.15,61.0,82,0,10.36,AU,2021-03-04 19:51:54
77,Alofi,-19.0595,-169.9187,80.6,83,100,10.36,NU,2021-03-04 19:51:54
78,Port Augusta,-32.5,137.7667,57.2,88,0,6.91,AU,2021-03-04 19:51:55
79,Chuy,-33.6971,-53.4616,75.09,82,100,10.54,UY,2021-03-04 19:51:55
80,Paamiut,61.994,-49.6678,41.56,65,99,6.73,GL,2021-03-04 19:51:56
81,Chaoyang,41.5703,120.4586,33.3,78,87,19.19,CN,2021-03-04 19:51:56
82,Saint-Philippe,-21.3585,55.7679,78.8,78,40,4.61,RE,2021-03-04 19:51:57
83,Pucallpa,-8.3791,-74.5539,86.0,62,75,11.5,PE,2021-03-04 19:51:57
84,Partapur,23.6,74.1667,71.96,20,0,4.23,IN,2021-03-04 19:51:57
85,Fortuna,40.5982,-124.1573,59.0,55,75,1.99,US,2021-03-04 19:51:57
86,Vitim,59.4511,112.5578,-25.01,81,0,4.25,RU,2021-03-04 19:51:57
87,Kahului,20.8947,-156.47,73.4,64,20,9.22,US,2021-03-04 19:51:58
88,Dikson,73.5069,80.5464,-28.98,83,3,13.51,RU,2021-03-04 19:51:58
89,Upernavik,72.7868,-56.1549,-12.75,83,58,16.37,GL,2021-03-04 19:51:58
90,Rosamorada,22.1222,-105.2058,94.32,22,62,10.0,MX,2021-03-04 19:51:58
91,Banapur,19.7833,85.1833,72.7,79,1,6.08,IN,2021-03-04 19:51:59
92,Erenhot,43.6475,111.9767,16.63,69,43,17.18,CN,2021-03-04 19:51:59
93,Grindavik,63.8424,-22.4338,41.0,87,75,6.91,IS,2021-03-04 19:49:19
94,Koroni,36.8,21.95,46.4,81,0,4.61,GR,2021-03-04 19:51:59
95,Mudon,16.2578,97.7164,76.46,77,1,0.6,MM,2021-03-04 19:52:00
96,Kaitangata,-46.2817,169.8464,55.0,58,100,6.38,NZ,2021-03-04 19:49:52
97,Kralendijk,12.15,-68.2667,84.2,61,75,14.97,BQ,2021-03-04 19:51:03
98,Bubaque,11.2833,-15.8333,77.76,72,0,14.67,GW,2021-03-04 19:52:00
99,Clyde River,70.4692,-68.5914,-18.4,76,20,10.36,CA,2021-03-04 19:52:00
100,Port Alfred,-33.5906,26.891,69.01,90,46,10.8,ZA,2021-03-04 19:47:18
101,Bethel,41.3712,-73.414,37.0,48,84,5.99,US,2021-03-04 19:52:01
102,Mount Dora,28.8025,-81.6445,75.99,35,1,5.75,US,2021-03-04 19:52:01
103,Lagos,6.5833,3.75,82.2,81,36,9.04,NG,2021-03-04 19:49:15
104,Carnarvon,-24.8667,113.6333,73.4,88,40,8.05,AU,2021-03-04 19:52:01
105,Axim,4.8699,-2.2405,80.73,87,1,8.63,GH,2021-03-04 19:52:02
106,Galle,6.0367,80.217,75.2,79,0,6.69,LK,2021-03-04 19:52:02
107,Miri,4.4148,114.0089,75.2,94,40,2.3,MY,2021-03-04 19:49:51
108,Saint-Pierre,-21.3393,55.4781,78.8,78,40,4.61,RE,2021-03-04 19:52:02
109,Provideniya,64.3833,-173.3,13.12,93,100,4.07,RU,2021-03-04 19:52:03
110,Lake Havasu City,34.4839,-114.3224,64.4,42,1,3.44,US,2021-03-04 19:52:03
111,Ribeira Grande,38.5167,-28.7,60.8,67,20,4.61,PT,2021-03-04 19:52:03
112,La Ronge,55.1001,-105.2842,28.4,69,100,3.44,CA,2021-03-04 19:52:03
113,Port Macquarie,-31.4333,152.9167,61.0,94,5,3.0,AU,2021-03-04 19:52:03
114,Sorong,-0.8833,131.25,80.24,79,95,4.54,ID,2021-03-04 19:52:03
115,Ust-Nera,64.5667,143.2,-28.43,75,100,4.81,RU,2021-03-04 19:52:04
116,Caraquet,47.7941,-64.9386,15.8,57,99,19.57,CA,2021-03-04 19:52:04
117,San Patricio,28.017,-97.5169,78.8,50,40,12.66,US,2021-03-04 19:52:04
118,Yellowknife,62.456,-114.3525,-5.01,71,75,16.11,CA,2021-03-04 19:49:11
119,Yunhe,34.0833,119.7167,43.21,90,48,5.95,CN,2021-03-04 19:52:05
120,San Andres,12.5847,-81.7006,84.2,65,40,8.05,CO,2021-03-04 19:52:05
121,Emerald,-23.5333,148.1667,71.6,78,0,3.44,AU,2021-03-04 19:52:05
122,Hithadhoo,-0.6,73.0833,82.83,70,93,8.57,MV,2021-03-04 19:52:06
123,Dong Hoi,17.4833,106.6,70.9,92,49,0.74,VN,2021-03-04 19:52:06
124,Puerto Ayora,-0.7393,-90.3518,84.2,79,75,9.22,EC,2021-03-04 19:52:06
125,Richards Bay,-28.783,32.0377,70.86,78,0,5.77,ZA,2021-03-04 19:52:06
126,Yatou,37.15,122.3833,40.46,95,35,7.36,CN,2021-03-04 19:52:07
127,Vaini,-21.2,-175.2,77.0,94,75,2.3,TO,2021-03-04 19:52:07
128,College,64.8569,-147.8028,3.0,71,75,4.61,US,2021-03-04 19:52:07
129,Novikovo,51.1537,37.8879,36.18,91,100,11.88,RU,2021-03-04 19:52:08
130,Komsomolskiy,40.4272,71.7189,46.4,76,90,2.3,UZ,2021-03-04 19:52:08
131,Isangel,-19.55,169.2667,78.8,94,90,20.71,VU,2021-03-04 19:52:08
132,Cidreira,-30.1811,-50.2056,79.12,74,95,5.35,BR,2021-03-04 19:49:10
133,Hearst,49.6835,-83.6665,10.4,56,8,6.91,CA,2021-03-04 19:52:09
134,Ust-Charyshskaya Pristan,52.3934,83.6635,15.42,79,98,4.92,RU,2021-03-04 19:52:09
135,Lavrentiya,65.5833,-171.0,1.44,92,100,26.24,RU,2021-03-04 19:52:09
136,Constitucion,-35.3333,-72.4167,72.27,59,0,18.28,CL,2021-03-04 19:52:09
137,Kangaatsiaq,68.3065,-53.4641,18.77,96,100,12.21,GL,2021-03-04 19:52:10
